time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-10 00:00:00+00:00,5,5,1,1
2026-05-11 00:00:00+00:00,13,4,1,1
2026-05-12 00:00:00+00:00,10,5,0,0
2026-05-13 00:00:00+00:00,39,15,0,0
2026-05-14 00:00:00+00:00,10,5,0,0
2026-05-15 00:00:00+00:00,71,6,1,1
2026-05-16 00:00:00+00:00,11,6,0,0
2026-05-17 00:00:00+00:00,19,6,0,0
2026-05-18 00:00:00+00:00,9,4,2,1
2026-05-19 00:00:00+00:00,10,5,0,0
2026-05-20 00:00:00+00:00,8,3,1,1
2026-05-21 00:00:00+00:00,20,6,0,0
2026-05-22 00:00:00+00:00,19,5,0,0
2026-05-23 00:00:00+00:00,46,26,36,1
