time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-19 00:00:00+00:00,0,0,8,1
2023-11-20 00:00:00+00:00,4,3,3,1
2023-11-21 00:00:00+00:00,23,12,66,1
2023-11-22 00:00:00+00:00,0,0,7,1
2023-11-23 00:00:00+00:00,17,8,83,1
2023-11-24 00:00:00+00:00,1,1,0,0
2023-11-25 00:00:00+00:00,0,0,3,1
2023-11-26 00:00:00+00:00,3,2,6,1
2023-11-27 00:00:00+00:00,6,5,32,3
2023-11-28 00:00:00+00:00,3,2,4,1
2023-11-29 00:00:00+00:00,2,1,11,2
2023-11-30 00:00:00+00:00,0,0,11,1
2023-12-01 00:00:00+00:00,2,1,23,2
2023-12-02 00:00:00+00:00,0,0,24,1
2023-12-03 00:00:00+00:00,6,5,26,2
2023-12-04 00:00:00+00:00,5,5,0,0
2023-12-05 00:00:00+00:00,2,2,18,1
2023-12-06 00:00:00+00:00,3,3,14,1
2023-12-07 00:00:00+00:00,3,3,6,1
2023-12-08 00:00:00+00:00,6,5,1,1
2023-12-09 00:00:00+00:00,2,2,1,1
2023-12-10 00:00:00+00:00,5,5,0,0
2023-12-11 00:00:00+00:00,4,4,0,0
2023-12-12 00:00:00+00:00,2,2,10,1
2023-12-13 00:00:00+00:00,2,2,0,0
2023-12-14 00:00:00+00:00,2,2,0,0
2023-12-15 00:00:00+00:00,3,3,9,1
2023-12-16 00:00:00+00:00,3,3,0,0
2023-12-17 00:00:00+00:00,2,2,23,1
2023-12-18 00:00:00+00:00,3,3,8,1
2023-12-19 00:00:00+00:00,5,5,1,1
2023-12-20 00:00:00+00:00,2,2,7,1
2023-12-21 00:00:00+00:00,2,2,7,1
2023-12-22 00:00:00+00:00,3,3,0,0
2023-12-23 00:00:00+00:00,3,3,1,1
2023-12-24 00:00:00+00:00,2,2,0,0
2023-12-25 00:00:00+00:00,3,3,0,0
2023-12-26 00:00:00+00:00,2,2,0,0
2023-12-27 00:00:00+00:00,2,2,0,0
